172.18.0.1 - - [19/Dec/2025:00:38:52 +0000] "GET /?id=7c7cc5dc-28c5-484a-9f72-f8a98ee9c902&vscodeBrowserReqId=1766104732088 HTTP/1.1" 200 406 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Code/1.106.3 Chrome/138.0.7204.251 Electron/37.7.0 Safari/537.36" host=localhost tenant=localhost
172.18.0.1 - - [19/Dec/2025:00:41:44 +0000] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 185 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36" host=localhost tenant=localhost
172.18.0.1 - - [19/Dec/2025:00:41:52 +0000] "GET /?id=7c7cc5dc-28c5-484a-9f72-f8a98ee9c902&vscodeBrowserReqId=1766104912528 HTTP/1.1" 200 406 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Code/1.106.3 Chrome/138.0.7204.251 Electron/37.7.0 Safari/537.36" host=localhost tenant=localhost
172.18.0.1 - - [19/Dec/2025:00:42:30 +0000] "GET / HTTP/1.1" 200 406 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:146.0) Gecko/20100101 Firefox/146.0" host=localhost tenant=localhost
172.18.0.1 - - [19/Dec/2025:00:42:34 +0000] "GET /favicon.ico HTTP/1.1" 404 153 "http://localhost/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:146.0) Gecko/20100101 Firefox/146.0" host=localhost tenant=localhost
172.18.0.1 - - [19/Dec/2025:00:44:18 +0000] "GET / HTTP/1.1" 200 406 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:146.0) Gecko/20100101 Firefox/146.0" host=localhost tenant=localhost
172.18.0.1 - - [19/Dec/2025:00:44:18 +0000] "GET /favicon.ico HTTP/1.1" 404 153 "http://localhost/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:146.0) Gecko/20100101 Firefox/146.0" host=localhost tenant=localhost
172.18.0.1 - - [19/Dec/2025:00:44:23 +0000] "HEAD / HTTP/1.1" 200 0 "-" "curl/8.16.0" host=localhost tenant=localhost
172.18.0.1 - - [19/Dec/2025:00:44:27 +0000] "GET / HTTP/1.1" 200 406 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:146.0) Gecko/20100101 Firefox/146.0" host=localhost tenant=localhost
172.18.0.1 - - [19/Dec/2025:00:45:23 +0000] "GET / HTTP/1.1" 200 406 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36" host=localhost tenant=localhost
172.18.0.1 - - [19/Dec/2025:00:45:23 +0000] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 185 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36" host=localhost tenant=localhost
172.18.0.1 - - [19/Dec/2025:00:45:44 +0000] "GET / HTTP/1.1" 200 615 "-" "curl/8.16.0" host=localhost tenant=localhost
172.18.0.1 - - [19/Dec/2025:00:45:54 +0000] "GET / HTTP/1.1" 200 406 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36" host=localhost tenant=localhost
172.18.0.1 - - [19/Dec/2025:00:45:54 +0000] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 185 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36" host=localhost tenant=localhost
172.18.0.1 - - [19/Dec/2025:00:46:15 +0000] "GET / HTTP/1.1" 200 406 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36" host=localhost tenant=localhost
172.18.0.1 - - [19/Dec/2025:00:46:15 +0000] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 185 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36" host=localhost tenant=localhost
172.18.0.1 - - [19/Dec/2025:00:47:33 +0000] "GET / HTTP/1.1" 200 406 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36" host=localhost tenant=localhost
172.18.0.1 - - [19/Dec/2025:00:47:33 +0000] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 185 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36" host=localhost tenant=localhost
172.18.0.1 - - [19/Dec/2025:00:50:02 +0000] "GET / HTTP/1.1" 200 1905 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36" host=localhost tenant=localhost
172.18.0.1 - - [19/Dec/2025:00:50:02 +0000] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 185 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36" host=localhost tenant=localhost
172.18.0.1 - - [19/Dec/2025:00:50:02 +0000] "GET /chunk-C26B5QTE.js HTTP/1.1" 200 1038 "http://localhost/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36" host=localhost tenant=localhost
172.18.0.1 - - [19/Dec/2025:00:50:02 +0000] "GET /chunk-3OIWJAM5.js HTTP/1.1" 200 4342 "http://localhost/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36" host=localhost tenant=localhost
172.18.0.1 - - [19/Dec/2025:00:50:02 +0000] "GET /chunk-ZU6WH7ML.js HTTP/1.1" 200 7030 "http://localhost/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36" host=localhost tenant=localhost
172.18.0.1 - - [19/Dec/2025:00:50:02 +0000] "GET /chunk-K7NPHU5Y.js HTTP/1.1" 200 14098 "http://localhost/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36" host=localhost tenant=localhost
172.18.0.1 - - [19/Dec/2025:00:50:02 +0000] "GET /chunk-VF7WZXVW.js HTTP/1.1" 200 47932 "http://localhost/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36" host=localhost tenant=localhost
172.18.0.1 - - [19/Dec/2025:00:50:02 +0000] "GET /polyfills-FFHMD2TL.js HTTP/1.1" 200 12422 "http://localhost/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36" host=localhost tenant=localhost
172.18.0.1 - - [19/Dec/2025:00:50:02 +0000] "GET /chunk-27ACLNJX.js HTTP/1.1" 200 696 "http://localhost/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36" host=localhost tenant=localhost
172.18.0.1 - - [19/Dec/2025:00:50:02 +0000] "GET /chunk-GA7OTKCA.js HTTP/1.1" 200 19569 "http://localhost/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36" host=localhost tenant=localhost
172.18.0.1 - - [19/Dec/2025:00:50:02 +0000] "GET /chunk-SB43XQUH.js HTTP/1.1" 200 10040 "http://localhost/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36" host=localhost tenant=localhost
172.18.0.1 - - [19/Dec/2025:00:50:02 +0000] "GET /chunk-FQ7LTGEB.js HTTP/1.1" 200 3686 "http://localhost/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36" host=localhost tenant=localhost
172.18.0.1 - - [19/Dec/2025:00:50:02 +0000] "GET /chunk-IBSZDD44.js HTTP/1.1" 200 104 "http://localhost/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36" host=localhost tenant=localhost
172.18.0.1 - - [19/Dec/2025:00:50:02 +0000] "GET /main-QMG7JTCW.js HTTP/1.1" 200 8672 "http://localhost/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36" host=localhost tenant=localhost
172.18.0.1 - - [19/Dec/2025:00:50:03 +0000] "GET /styles-23LYJBF3.css HTTP/1.1" 200 2545 "http://localhost/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36" host=localhost tenant=localhost
172.18.0.1 - - [19/Dec/2025:00:50:03 +0000] "GET /chunk-2NEDPZJN.js HTTP/1.1" 200 4271 "http://localhost/main-QMG7JTCW.js" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36" host=localhost tenant=localhost
172.18.0.1 - - [19/Dec/2025:00:50:03 +0000] "GET /assets/logos/Logo_tratios.png HTTP/1.1" 200 58153 "http://localhost/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36" host=localhost tenant=localhost
172.18.0.1 - - [19/Dec/2025:00:50:03 +0000] "GET /assets/logos/Logo%20Tratios_horizontal.png HTTP/1.1" 200 1508964 "http://localhost/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36" host=localhost tenant=localhost
172.18.0.1 - - [19/Dec/2025:00:50:03 +0000] "GET /chunk-5MP2FCMG.js HTTP/1.1" 200 5632 "http://localhost/chunk-2NEDPZJN.js" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36" host=localhost tenant=localhost
172.18.0.1 - - [19/Dec/2025:00:50:03 +0000] "GET /chunk-RQ63WOS4.js HTTP/1.1" 200 4496 "http://localhost/chunk-2NEDPZJN.js" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36" host=localhost tenant=localhost
172.18.0.1 - - [19/Dec/2025:00:50:03 +0000] "GET /chunk-U3RXSK4W.js HTTP/1.1" 200 4893 "http://localhost/chunk-2NEDPZJN.js" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36" host=localhost tenant=localhost
172.18.0.1 - - [19/Dec/2025:00:50:03 +0000] "GET /chunk-4M4S3KII.js HTTP/1.1" 200 2229 "http://localhost/chunk-2NEDPZJN.js" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36" host=localhost tenant=localhost
172.18.0.1 - - [19/Dec/2025:00:50:03 +0000] "GET /assets/visor-landing/facturacion.png HTTP/1.1" 200 1172699 "http://localhost/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36" host=localhost tenant=localhost
172.18.0.1 - - [19/Dec/2025:00:50:03 +0000] "GET /assets/visor-landing/seguridad.png HTTP/1.1" 200 1328298 "http://localhost/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36" host=localhost tenant=localhost
172.18.0.1 - - [19/Dec/2025:00:50:03 +0000] "GET /assets/visor-landing/control-total.png HTTP/1.1" 200 1198314 "http://localhost/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36" host=localhost tenant=localhost
172.18.0.1 - - [19/Dec/2025:00:50:03 +0000] "GET /assets/visor-landing/acceso-nube.png HTTP/1.1" 200 1316863 "http://localhost/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36" host=localhost tenant=localhost
172.18.0.1 - - [19/Dec/2025:00:50:03 +0000] "GET /assets/visor-landing/alertas.png HTTP/1.1" 200 1151056 "http://localhost/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36" host=localhost tenant=localhost
172.18.0.1 - - [19/Dec/2025:00:50:03 +0000] "GET /assets/visor-landing/ventas.png HTTP/1.1" 200 1216454 "http://localhost/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36" host=localhost tenant=localhost
172.18.0.1 - - [19/Dec/2025:00:50:03 +0000] "GET /assets/visor-landing/pagos.png HTTP/1.1" 200 1405563 "http://localhost/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36" host=localhost tenant=localhost
172.18.0.1 - - [19/Dec/2025:00:50:03 +0000] "GET /assets/logos/Logo%20Tratios_horizontal.png HTTP/1.1" 200 1508964 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36" host=localhost tenant=localhost
172.18.0.1 - - [19/Dec/2025:00:50:03 +0000] "GET /assets/visor-landing/control-total.png HTTP/1.1" 200 1198314 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36" host=localhost tenant=localhost
172.18.0.1 - - [19/Dec/2025:00:50:03 +0000] "GET /assets/visor-landing/pagos.png HTTP/1.1" 200 1405563 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36" host=localhost tenant=localhost
172.18.0.1 - - [19/Dec/2025:00:50:04 +0000] "GET /assets/visor-landing/alertas.png HTTP/1.1" 200 1151056 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36" host=localhost tenant=localhost
172.18.0.1 - - [19/Dec/2025:00:50:04 +0000] "GET /assets/visor-landing/seguridad.png HTTP/1.1" 200 1328298 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36" host=localhost tenant=localhost
172.18.0.1 - - [19/Dec/2025:00:50:04 +0000] "GET /assets/visor-landing/facturacion.png HTTP/1.1" 200 1172699 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36" host=localhost tenant=localhost
172.18.0.1 - - [19/Dec/2025:00:50:04 +0000] "GET /assets/visor-landing/ventas.png HTTP/1.1" 200 1216454 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36" host=localhost tenant=localhost
172.18.0.1 - - [19/Dec/2025:00:50:04 +0000] "GET /assets/visor-landing/acceso-nube.png HTTP/1.1" 200 1316863 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36" host=localhost tenant=localhost
172.18.0.1 - - [19/Dec/2025:00:50:16 +0000] "GET / HTTP/1.1" 200 13148 "-" "curl/8.16.0" host=localhost tenant=localhost
172.18.0.1 - - [19/Dec/2025:00:54:48 +0000] "GET / HTTP/1.1" 200 1906 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36" host=localhost tenant=localhost
172.18.0.1 - - [19/Dec/2025:00:54:48 +0000] "GET /chunk-IQIAX4VS.js HTTP/1.1" 200 3686 "http://localhost/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36" host=localhost tenant=localhost
172.18.0.1 - - [19/Dec/2025:00:54:48 +0000] "GET /chunk-27ACLNJX.js HTTP/1.1" 200 696 "http://localhost/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36" host=localhost tenant=localhost
172.18.0.1 - - [19/Dec/2025:00:54:48 +0000] "GET /chunk-SB43XQUH.js HTTP/1.1" 200 10040 "http://localhost/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36" host=localhost tenant=localhost
172.18.0.1 - - [19/Dec/2025:00:54:48 +0000] "GET /chunk-GA7OTKCA.js HTTP/1.1" 200 19569 "http://localhost/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36" host=localhost tenant=localhost
172.18.0.1 - - [19/Dec/2025:00:54:48 +0000] "GET /chunk-3OIWJAM5.js HTTP/1.1" 200 4342 "http://localhost/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36" host=localhost tenant=localhost
172.18.0.1 - - [19/Dec/2025:00:54:48 +0000] "GET /chunk-FTVVU5CR.js HTTP/1.1" 200 82 "http://localhost/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36" host=localhost tenant=localhost
172.18.0.1 - - [19/Dec/2025:00:54:48 +0000] "GET /chunk-ZU6WH7ML.js HTTP/1.1" 200 7030 "http://localhost/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36" host=localhost tenant=localhost
172.18.0.1 - - [19/Dec/2025:00:54:48 +0000] "GET /chunk-VF7WZXVW.js HTTP/1.1" 200 47932 "http://localhost/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36" host=localhost tenant=localhost
172.18.0.1 - - [19/Dec/2025:00:54:48 +0000] "GET /main-E6VYOXJH.js HTTP/1.1" 200 8673 "http://localhost/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36" host=localhost tenant=localhost
172.18.0.1 - - [19/Dec/2025:00:54:48 +0000] "GET /chunk-KFIKNMZV.js HTTP/1.1" 200 1038 "http://localhost/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36" host=localhost tenant=localhost
172.18.0.1 - - [19/Dec/2025:00:54:48 +0000] "GET /chunk-K7NPHU5Y.js HTTP/1.1" 200 14098 "http://localhost/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36" host=localhost tenant=localhost
172.18.0.1 - - [19/Dec/2025:00:54:48 +0000] "GET /polyfills-FFHMD2TL.js HTTP/1.1" 200 12422 "http://localhost/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36" host=localhost tenant=localhost
172.18.0.1 - - [19/Dec/2025:00:54:48 +0000] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 185 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36" host=localhost tenant=localhost
172.18.0.1 - - [19/Dec/2025:00:54:48 +0000] "GET /styles-23LYJBF3.css HTTP/1.1" 200 2545 "http://localhost/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36" host=localhost tenant=localhost
172.18.0.1 - - [19/Dec/2025:00:54:48 +0000] "GET /chunk-RUOWBOEJ.js HTTP/1.1" 200 4273 "http://localhost/main-E6VYOXJH.js" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36" host=localhost tenant=localhost
172.18.0.1 - - [19/Dec/2025:00:54:48 +0000] "GET /assets/logos/Logo_tratios.png HTTP/1.1" 200 58153 "http://localhost/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36" host=localhost tenant=localhost
172.18.0.1 - - [19/Dec/2025:00:54:48 +0000] "GET /assets/logos/Logo%20Tratios_horizontal.png HTTP/1.1" 200 1508964 "http://localhost/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36" host=localhost tenant=localhost
172.18.0.1 - - [19/Dec/2025:00:54:49 +0000] "GET /chunk-4M4S3KII.js HTTP/1.1" 200 2229 "http://localhost/chunk-RUOWBOEJ.js" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36" host=localhost tenant=localhost
172.18.0.1 - - [19/Dec/2025:00:54:49 +0000] "GET /chunk-5MP2FCMG.js HTTP/1.1" 200 5632 "http://localhost/chunk-RUOWBOEJ.js" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36" host=localhost tenant=localhost
172.18.0.1 - - [19/Dec/2025:00:54:49 +0000] "GET /chunk-PUW2NICP.js HTTP/1.1" 200 4894 "http://localhost/chunk-RUOWBOEJ.js" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36" host=localhost tenant=localhost
172.18.0.1 - - [19/Dec/2025:00:54:49 +0000] "GET /chunk-RQ63WOS4.js HTTP/1.1" 200 4496 "http://localhost/chunk-RUOWBOEJ.js" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36" host=localhost tenant=localhost
